word,level,slope,pval,count
country,0,-0.08276689938103858,0.4683488460223003,79
october,0,0.08094798635805622,0.3734380280649489,123
dan,0,0.13442907693354553,0.5948551677461608,18
orang,0,-0.7515981056728613,0.14294958466462104,5
best,0,0.26407468233790155,0.00434787067563852,115
last,0,-0.06628780473062486,0.5016750807884828,105
minutes,0,-0.09119933537992247,0.5560212027615314,44
got,0,0.16826739177137734,0.04851784195733473,138
album,0,0.3475197378956345,0.02413240516530391,42
mv,0,0.8064772215112127,0.004823010391125485,10
say,0,-0.04674967692242192,0.576589162359068,145
making,0,-0.07674728208879128,0.5532574978863161,62
twitch,0,-0.2903947205410136,0.27523636304721205,16
played,0,0.05836971771932861,0.7635971557884873,29
years,0,0.0296361781987044,0.7225182019229317,146
1,0,-0.009079166034627521,0.885510459721622,254
yg,0,-0.1837540813306922,0.6360330463722299,9
convinced,0,0.05672211977746276,0.915008069175902,6
seokjin,0,-0.04735194589415076,0.8966495591860479,10
like,0,0.13692751131819836,0.03180860947477045,246
looking,0,-0.18392573130591466,0.11672541409458967,74
open,0,-0.11796636057733255,0.38214432196965575,57
minnesota,0,0.6069652112144549,2.5843781281436786e-05,41
i,0,-0.15191642251081114,0.02698658762754786,212
anything,0,-0.19241496769458813,0.08727627198678913,80
pretty,0,-0.2322967153406837,0.06473231600997319,64
sits,0,-0.7497901303172256,0.14447039030071845,5
pe,0,-0.6380318249720657,0.06446193423241939,9
happen,0,-0.00011616879640741308,0.9994101065596591,43
tax,0,0.2944709539283097,0.026181574923464925,57
violated,0,-0.04834711866908727,0.9384665262377812,5
long,0,0.11196956425840997,0.3165776733014116,82
now,0,0.008265050656971395,0.9023193268246744,223
pete,0,-0.4603328512686757,0.5396671487313243,4
rajshah45,0,0.4541906121847898,0.25826276059364384,8
interviews,0,-0.14984890847005916,0.4949591288281983,23
"1,200",0,0.8049888492580367,0.195011150741963,4
questions,0,-0.08855307635631099,0.602237617981989,37
record,0,-0.20846220771166846,0.18522830412232827,42
documents,0,0.2436573104054877,0.4012200627815185,14
additional,0,-0.12226638646960965,0.7202475434730868,11
lmaoo,0,-0.10407552828791213,0.7350920293344684,13
chasingozphotog,0,0.8978049477345027,0.0010152743169893137,9
know,0,0.20257337386444602,0.0020183897627274448,230
53,0,-0.032136923920538706,0.9297730380158582,10
women,0,-0.09733492964148424,0.232887250859214,152
voted,0,-0.0877241766686022,0.536308761261562,52
hours,0,0.16142339194759894,0.2435636813215425,54
claim,0,-0.0572145144799566,0.7858918543695458,25
entire,0,-0.14551385347010226,0.3345893741462639,46
conditions,0,-0.07484900686984018,0.6375694360111388,42
perfect,0,0.06131532481459834,0.6012667990222901,75
never,0,-0.01106505953258276,0.8945457548954983,146
act,0,-0.01781677830044016,0.8862084888259666,67
rather,0,-0.23635694069133326,0.2553332845113045,25
east,0,-0.04607803565384384,0.8427860461511839,21
letter,0,0.010090152585983938,0.9457334219231592,48
goddess,0,0.6574953954407474,0.1084929856312536,7
bbc,0,-0.002520658646513063,0.9948649835607496,9
dm,0,0.07560199682899567,0.7255104347827942,24
bro,0,-0.1912955219928109,0.17430435482591575,52
edkrassen,0,0.5607934358382273,0.004362710964236472,24
ever,0,0.22297364457098207,0.013563029235756576,122
father,0,-0.2023769200611514,0.2586970425138861,33
gave,0,-0.002562219383803739,0.9894753890929496,29
413,0,0.7458993328427694,0.14775915484555155,5
declare,0,-0.40439045754998376,0.4995135394774886,5
just,0,0.17256614687783914,0.0393061342927335,143
saying,0,0.04878975110176617,0.7088512519990873,61
